Traffic source,Source type,Source title,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
YT_RELATED.ae3j9OSz54s,Content,"In 5 Minutes, Your Mind Will Return to Peace 💗 Rainy Garden Ambience for Deep Emotional Healing 🍃🌧️",9,11.11,2,0:08:02,0.2678
YT_RELATED.arAa0G5c6jw,Content,Fall Asleep Fast with Calming Piano • Healing Sleep Music for Overthinking Cure & Anxiety Relief,0,,2,1:00:18,2.0102
YT_RELATED.c2YZp2U6mK4,Content,"Нежная лечебная 🌸 музыка здоровья и для успокоения нервной системы, глубокого релакса #3",2,0,2,1:00:18,2.0101
YT_RELATED.cBV7c-5n5Ak,Content,The First Snow Falls🎄Enchanting Winter Nature with Sounds Fireplace & Peaceful Piano Music,0,,2,1:00:18,2.0101
YT_RELATED.cM1UMi3KhoI,Content,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 • Winter Fairy🧚 ❄️Enchanted Whimsical Christmas songs💫🎄,8,25,2,0:02:14,0.0747
YT_RELATED.ck4UXUz_pOg,Content,a playlist for quiet mornings,10,10,2,0:30:24,1.0134
YT_RELATED.cmvRTuC_74s,Content,you’re studying in a secret garden (aesthetic instrumental playlist),6,16.67,2,1:00:18,2.0101
YT_RELATED.cwCxv6DTDP4,Content,Bản Troi Ke 140 Full Thái Hoàng,1,200,2,0:03:42,0.1238
YT_RELATED.e0adQ4Jve6g,Content,Calm Winter Coffeehouse ☕🔥 Gentle Jazz Piano & Warm Fireplace for Studying and Working,6,16.67,2,0:30:13,1.0073
YT_RELATED.eAwIwHDWsck,Content,"Healing Music for the Soul 🌿 Relaxing Music for Emotional Balance, Calming music, Stop overthinking",3,0,2,1:00:18,2.0101
YT_RELATED.eGiyYB1NXHY,Content,GRATITUDE | Peaceful Winter Worship Piano ❄️ Cozy Christmas Worship & Bible Verses That Bring Hope,1,0,2,0:59:38,1.9879
YT_RELATED.fXqUZaeuuyw,Content,Autumn Serenity | Soft Piano & Gentle Birdsong for Deep Relaxation,2,0,2,0:31:33,1.0521
YT_RELATED.fjxGZCKC9ZM,Content,"Snowy Forest Gifts| 🦌🎄Cozy Piano Music to Sleep, Relax, Study Amidst the Pines  | 4K",9,11.11,2,0:41:31,1.3844
YT_RELATED.fpi70USEM4Q,Content,"Soothing Deep Sleep (No Ads) • Healing of Stress, Anxiety and Depressive States",7,0,2,0:37:28,1.2492
YT_RELATED.gxWRBS1yDOA,Content,Fairy Tale Music for Drawing & Inspiration 🎻🦉 Mystical Owls & Moonlit Forest,4,0,2,0:16:32,0.5515
YT_RELATED.hXms5wjIa_0,Content,FPT Shop: Chương Trình Khuyến Mãi Tháng 11,0,,2,1:00:18,2.0101
YT_RELATED.iA1VAbGZPSk,Content,"Deep Sleep Therapy (No Ads) • Calm Mind, Release Tension • End Insomnia Forever Tonight",3,0,2,0:55:44,1.858
YT_RELATED.iICbk4quJOg,Content,"Calming Sound of Rain and Birds Chirping – 100% Reduce Stress, and Calm Your Mind Naturally 🍃💖| 4K",1,0,2,1:00:18,2.0101
YT_RELATED.k6bdZiBLpZk,Content,"Soothing Winter Music - Stop Overthinking, Stress Relief Melodies",1,0,2,1:00:18,2.0101
YT_RELATED.k9lQENRt1Ww,Content,Winter Cabin Retreat ~ Relaxing Guitar Music for Snowy Evenings,21,9.52,2,0:00:05,0.0032
YT_RELATED.ll2sjIQY3xk,Content,the first breath of winter ❄️ soft music for quiet souls,11,0,2,0:29:27,0.9817
YT_RELATED.mYej_n_BBsA,Content,Every New Day is Another Chance🎄❄️🌲 Relaxing Guitar Music for Winter Mornings & Peaceful Christmas,18,11.11,2,0:00:12,0.0069
YT_RELATED.mtR46nYxrxs,Content,"Soothes, Restores the Nervous System 🌿 Stop Overthinking, Stress Relief Music, Deep Sleep Music",2,0,2,0:43:13,1.4409
YT_RELATED.oAfI337yboA,Content,Cozy Christmas Ambience 2025 | Relaxing Piano Music & Snowfall for Sleep and Holiday Calm,7,0,2,0:53:12,1.7734
YT_RELATED.pRkzCgz3mP0,Content,Winter Coffee Jazz❄️Cozy Jazz with a Snowfall Winter Ambience for a Relaxing Day🎄,2,0,2,0:34:01,1.1342
YT_RELATED.pwOKn_JsuSo,Content,Исцеляющие звуки природы для гармонии с собой и умиротворения разума.,1,100,2,0:30:16,1.0094
YT_RELATED.qFnBbbwXsV8,Content,This Quiz Will Help You Unwind! 101 Fun Questions,0,,2,0:33:55,1.1307
YT_RELATED.sGvNEsLT9VE,Content,"Healing Sleep Music: Relaxing Piano Music & Ocean Waves - Deep Rest, Insomnia Relief, Relaxation",1,0,2,0:22:41,0.7566
YT_RELATED.talRDCCgN9Q,Content,When the Wind Spoke | Fantasy Celtic Ambience | Relaxing Music [No Ads],12,0,2,0:10:14,0.3414
YT_RELATED.u6kA1KHGiaM,Content,the first scent of winter (a quiet piano playlist),20,10,2,0:00:36,0.0203
YT_RELATED.v8G6hzzx-5E,Content,"Peaceful Relaxing Music, Calming instrumental music for peace ❄️The Wildlife of Winter",12,0,2,1:00:21,2.012
YT_RELATED.vrk6hN6CVVc,Content,روائع وائل كفوري _ أجمل الاغاني والرواق,3,0,2,1:00:18,2.0101
YT_RELATED.vx_EWEXjs_o,Content,"a quiet playlist for books, tea, and watching the snow",41,4.88,2,0:06:45,0.2254
YT_RELATED.w7brpxPmvhU,Content,Foundling | Award Winning Animated Short Movie,1,0,2,0:17:09,0.5718
YT_RELATED.w82OdJ8ZBo4,Content,Cozy Winter｜90 Minutes Relaxing Guitar & Piano – Warm Holiday Instrumental Music,6,0,2,0:13:24,0.4469
YT_RELATED.wSETwYnS3OE,Content,"Beautiful Relaxing Music 🍀 Soothing music for deep relaxation, mental clarity and serenity",3,33.33,2,0:30:40,1.0224
YT_RELATED.x-iLOaTaofY,Content,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 • the little snowflake | a quiet piano playlist,27,7.41,2,0:33:57,1.1322
YT_RELATED.x3UUJT7jtAQ,Content,The gentle patter of rain on windows | Piano Playlist,30,6.67,2,0:25:18,0.8436
YT_RELATED.yggpmtYqpsQ,Content,Relaxing Snowfall in New York City in a Cozy Apartment with Vintage Oldies Playing in Another Room,5,0,2,0:12:11,0.4066
YT_RELATED.ykMwvI7aW0g,Content,"Music therapy 🌿Helps You Heal Your Heart and Soul, Restore Your Nervous System, Relax and Healing",1,0,2,1:00:18,2.0101
YT_RELATED.yq-Q4s53pvc,Content,Morning Energy Playlist ☀️ Feel Good Music for Coffee & Work | Morning Chillout Playlist,2,50,2,0:29:58,0.9992
YT_RELATED.yua0tInyy3s,Content,🌨️🎹 Cozy Room Winter Piano | Snow Falling Outside | 3 Hours Sleep Aid & Stress Relief Study Work,16,6.25,2,0:30:14,1.0079
YT_RELATED.z3ttxXVIO6o,Content,Daylight,4,50,2,0:30:08,1.0045
YT_RELATED.-0R-Pgg5z7s,Content,166 SỰ THẬT ĐEN TỐI về tất cả các tướng trong Liên Minh Huyền Thoại,1,100,1,0:00:05,0.0016
YT_RELATED.-1RM_WH4Fd0,Content,Rose Gold Light Therapy (528Hz) Heart Awakening - Sacred Feminine Healing - Magdalene Codes,2,50,1,1:00:18,1.0051
YT_RELATED.-4gIwM2hyO8,Content,"🎁 Merry Little Jazz Christmas  🎄 Frank Sinatra, Brenda Lee & Nat King Cole Vibes",3,33.33,1,0:00:12,0.0036
YT_RELATED.-5iIdxPxCoE,Content,Christmas Market - ambience and soft music | atmosphere of a market with Christmas music 🎄,1,100,1,1:00:18,1.0051
YT_RELATED.-79WD4UofcY,Content,"Cozy Hobbit Hole in Tranquility Forest Winter | Melodies Magical Music & Snowy, Crackling ASMR",1,100,1,0:03:10,0.0528
YT_RELATED.-7b6GiYFMGA,Content,"Warm Autumn Cafe Ambience 🍁 Gentle Piano Jazz & Rainy Street Vibes for Reading, Focus, Relaxation",1,0,1,1:00:18,1.0051
YT_RELATED.-Gckl_DL7uI,Content,"JONES, PAVANATO, DOM E CORTEZ | ZONA DE FOGO",1,0,1,0:04:54,0.0819
YT_RELATED.-OgYmLXc0yU,Content,"Relaxing Water Stream Sounds | Water Sounds & Birds | Sleep, Study, Meditation",0,,1,1:00:18,1.0051
YT_RELATED.-RgjCsfUvaQ,Content,Arranquei tudo da parede do kitnet e agora qual vai ser o próximo passo ???,0,,1,0:04:37,0.0772
YT_RELATED.-S9Xyi3GLmw,Content,"Peaceful Night Piano Music  - Soothing Piano Music For Stress Relief, Anxiety and Depressive States",1,0,1,0:06:34,0.1096
YT_RELATED.-aTdLO30bfI,Content,"Cozy Snowy Cabin Night: Soft Fireplace Crackles & Falling Snow for Deep Sleep, Study and Relaxation",1,100,1,0:00:03,0.001
YT_RELATED.-dik8SwrOEQ,Content,1 Hour of Asian Mum Cooking to Help You Study / Focus / Practice,1,100,1,0:00:08,0.0022
YT_RELATED.-kJeiDmOeVw,Content,🌙 밤하늘에 스민 그리움 | 가슴 울리는 드라마 발라드 (가사있음),1,100,1,0:59:38,0.994
YT_RELATED.-m5_N5m-Cfk,Content,"Healing Sleep Music • Relaxing Piano for Deep Rest, Stress & Anxiety Relief • Goodbye Insomnia",1,0,1,1:00:18,1.0051
YT_RELATED.-n1p5NV86g8,Content,a playlist to romanticize autumn evenings,6,0,1,0:14:59,0.2499
YT_RELATED.-sTbRyHKg94,Content,Chill Lo-Fi Drive in Japan  #04 | Peaceful Morning Drive POV 4K,0,,1,0:38:40,0.6447
YT_RELATED.-wDWsdbTFF0,Content,فيروزيات الصباح زيورخ سويسرا  أجواء المطر بدقة عالية  Fairuz and rainy day in  Zürich 4K,1,0,1,1:00:18,1.0051
YT_RELATED.-yI0ZFn7arM,Content,"Peaceful Nature 4K Relaxing Music| Stop Overthinking, Calm Music for Stress Relief, Great Deep Sleep",0,,1,0:21:07,0.3521
YT_RELATED.0G1RcQvupuc,Content,"فيروز وأجواء الطريق الساحر,دقة عالية جدا ,مشوار هادئ في مدينة France, Monaco.Fairouz in the Car.4K",0,,1,0:14:35,0.2433
YT_RELATED.0LYQGS51jGs,Content,"Soothing Autumn Music for Restore Your Nervous System 🍁Stress Relief, Stop Overthinking, Deep Sleep",3,0,1,0:52:04,0.868
YT_RELATED.0Md1KVJjXVY,Content,Valle Salvaje Episodio 307 Subtítulos es,0,,1,0:15:45,0.2626
YT_RELATED.0Ni00XDSd6E,Content,Calm Mountains - Tibetan Healing Relaxation Music - Ethereal Meditative Ambient Music,1,100,1,0:00:13,0.0039
YT_RELATED.0WaNWymVPYc,Content,Melt Stress Hormones Birdsong 🕊️🕊️🕊️ & Piano Escape,1,0,1,1:00:18,1.0051
YT_RELATED.0_Z3Sg-wEVI,Content,"Gray City — Melancholic Piano Music for Studying, Focus, Work, Relaxing | Dark Academia Music",2,50,1,0:00:01,0.0003
YT_RELATED.0aDvfrrc-GA,Content,"The Alps 4K | Heaven on Earth – Stunning Views from Switzerland, Italy & Austria",0,,1,1:00:18,1.0051
YT_RELATED.0bBukJAlkmc,Content,this beautiful little life | a piano playlist,31,3.23,1,0:40:14,0.6706
YT_RELATED.0dJc-7iMCao,Content,Thomas Keller’s butter-poached lobster sent me into a state of pure delirium,1,100,1,0:21:01,0.3505
YT_RELATED.0h0jh4TJlQ0,Content,"Restores The Nervous System 🌿 Stop Overthinking, Stress Relief Music, Sleep Music",4,0,1,1:00:18,1.0051
YT_RELATED.0hNiiOwcI5A,Content,Zdravko Čolić - Kuća puna naroda - (Official Video 2018),1,100,1,0:02:48,0.0467
YT_RELATED.0pANRezWlQE,Content,Hotel Silver arcade Premier ,0,,1,0:54:50,0.9141
YT_RELATED.0pPRU_nKo9I,Content,RESTORATION OF THE NERVOUS SYSTEM 🕊️ Gentle Music for Emotional Healing | Healing Positive,1,0,1,1:00:18,1.0051
YT_RELATED.0tr9PCxd-2M,Content,"Kitap Alışverişi | Üçlemeler, Dörtlemeler | Yalnızca Çok Ciltli Eserler",1,100,1,0:22:52,0.3814
YT_RELATED.0uJIJT1dOM0,Content,There’s hope,1,100,1,0:05:28,0.0912
YT_RELATED.0yx3XtfM5EI,Content,Golden afternoon light | Piano Playlist,1,0,1,0:05:32,0.0922
YT_RELATED.0zvMykq2WGU,Content,Oldies Christmas Jazz | Vintage Streetcar Holiday Cheer | Frank Sinatra Style Warmth,7,14.29,1,0:10:17,0.1716
YT_RELATED.10l0ErnyFZc,Content,"Relaxing Spa Music - Beautiful Peaceful, Calm Music, Meditation, Nature Sounds, Bamboo Water Sounds",1,0,1,1:00:18,1.0051
YT_RELATED.14-SO_l_sok,Content,Peaceful Christmas - Classical Music Gems,1,100,1,1:00:18,1.0051
YT_RELATED.14KJbNBsqbM,Content,"Beautiful Bull Moose Thinks He's Boss, Until He Meets the Giant #moose",1,100,1,0:13:28,0.2246
YT_RELATED.197nsWu4shE,Content,Lagrima - Guitar Lesson + TAB,1,100,1,0:06:07,0.102
YT_RELATED.19WjLFRYzxk,Content,Почему Духовное Пробуждение Ломает Почти Всех — Карл Юнг,0,,1,2:02:25,2.0403
YT_RELATED.19cY88mkg44,Content,Riding Through Golden Woods | Medieval Music for Emotional Healing & Serenity,2,50,1,0:05:27,0.0911
YT_RELATED.1C4YxK6-3CU,Content,Soothing Birdsong🕊️🕊️🕊️ & Piano Instant Stress Relief,1,0,1,1:00:18,1.0051
YT_RELATED.1GzKYoyrlkA,Content,"FOREST RIVER SOUNDS, BEAUTIFUL BIRDSONG, RELAXING NATURE SOUNDS with @GoodMorningBirds",1,100,1,0:41:05,0.6849
YT_RELATED.1PIK8UQtpEY,Content,🌙 (No Ads) Deep Sleep Music for Peaceful Dreams – Let Go of Stress & Restore Inner Balance Tonight ✨,0,,1,0:34:00,0.5667
YT_RELATED.1PL7U6SDLvs,Content,"Christmas Jazz Music, Fireplace Sounds & Snowy Lakeside Views, Best Christmas Songs with Fireplace",4,25,1,0:02:52,0.0479
YT_RELATED.1TgNVNoxPw8,Content,"Dance The Night Scene | BARBIE (2023) Margot Robbie, Movie CLIP HD",0,,1,0:18:37,0.3105
YT_RELATED.1V4AscLidWg,Content,HIM - Join Me In Death,1,100,1,0:12:23,0.2066
YT_RELATED.1Wy5xbqcbEU,Content,숨겨진 여름 : 아직 피지 않은 기억들,1,100,1,0:00:01,0.0003
YT_RELATED.1_kxOogpOVQ,Content,"Beautiful Relaxing Music🌿 Stop Overthinking, Stress Relief Music, Sleep Music",4,0,1,1:00:18,1.0051
YT_RELATED.1eI40dIHjl8,Content,A Journey Through the Dream Valley | Fantasy Music for Relaxation & Focus,2,50,1,0:00:03,0.001
YT_RELATED.1eiRMNvikLg,Content,Awaken the Dawn Official - Stanton Lanier,5,20,1,0:01:00,0.0168
YT_RELATED.1gNosZirr0o,Content,Péterfy Bori & Love Band - Szikra (feat. Pándi Balázs),1,100,1,0:00:08,0.0024
YT_RELATED.1gVegL9WKR4,Content,"Autumn Nature, Soothing Autumn Music 🍁 Beautiful Relaxing Music For Stress Relief, Deep Relaxation",1,0,1,1:00:18,1.0051
YT_RELATED.1jgyoj7ZP30,Content,🌤️ Whispers of the Morning – Soft Piano & Gentle Light for a Peaceful Start | 4K 🌼,3,0,1,1:00:18,1.0051
YT_RELATED.1zKawectR0M,Content,"Peaceful Winter Night in December  ❆ Soft Piano, Snowfall & Crackling Fireplace Sounds for Sleep",2,0,1,1:00:18,1.0051
YT_RELATED.20Ny3jnbjIc,Content,Ти - Космос - офіційний трейлер №2,0,,1,0:00:32,0.0091
YT_RELATED.24Ws9LEwDfw,Content,"📖 2 Hours Reading with Clouds in the Hills | Peaceful Piano & Birdsong for Study, Relaxation & Focus",1,100,1,0:14:54,0.2486
YT_RELATED.2Ad8xhdSs4Q,Content,Músicas Clássicas ao Piano | Acalmar e Pacificar | Calm Classical Piano,0,,1,1:00:18,1.0051
YT_RELATED.2GidKMdynVM,Content,FRANKENSTEIN (2025): Ai mới là QUÁI VẬT THỰC SỰ?,1,100,1,0:16:42,0.2785
YT_RELATED.2Ta7WOxaGGc,Content,"GRATEFUL MOMENT - Soothing Worship Instrumental for Prayer, Devotion, and Peace",1,100,1,0:16:48,0.2801
YT_RELATED.2UUDSBD-Vnw,Content,One Hour of Beautiful Instrumental Hymns | Peaceful and Relaxing Music | Taryn Harbridge,1,100,1,0:00:06,0.0017
YT_RELATED.2dSwv-Z1Ebg,Content,a playlist for a quiet morning ❄️ (winter version),5,20,1,0:06:11,0.1032
YT_RELATED.2iCf6idfFdw,Content,Ballade Pour Adeline (Richard Clayderman),1,100,1,1:00:18,1.0051
YT_RELATED.2rVf6SPrt0s,Content,"❄️Calming December Snow Music☕Relaxing Piano Music for Winter Calm & Peaceful, Soothing, Stress",0,,1,1:00:18,1.0051
YT_RELATED.2xEdmigmytk,Content,"Soothing Piano Music to Restore Your Nervous System 🌿 Beautiful Relaxing Music, Stress Relief",2,0,1,1:00:18,1.0051
YT_RELATED.343is5d84os,Content,Soft music soothes the nervous system and refreshes the soul 🌿 Music heals the heart and mind,3,0,1,0:39:52,0.6647
YT_RELATED.36YnV9STBqc,Content,"The Good Life Radio • 24/7 Live Radio | Best Relax House, Chillout, Study, Running, Gym, Happy Music",1,100,1,0:07:58,0.1329
YT_RELATED.37h9fBSr77U,Content,Νίκος Οικονομόπουλος Μία Συνέντευξη από Καρδιάς  Ά Μέρος - Β' Μέρος  #ant1 #gossip #news,0,,1,0:08:48,0.1468
YT_RELATED.3Cq4BvierDw,Content,"Gentle music, calms the nervous system and pleases soul- Healing music for heart & blood vessels #20",0,,1,0:31:03,0.5175
YT_RELATED.3FZ2tX9Rui0,Content,قهوة الصباح ☕️💕🎶أجمل اغاني فيروز الصباحية Fayrouz morning,0,,1,1:00:18,1.0051
YT_RELATED.3GjuDArn-JU,Content,(NO ADS) Fall Asleep Deep Sleep in 5 Minutes • Emotional & Physical Restoration • Stop Overthinking,2,0,1,1:00:18,1.0051
YT_RELATED.3KsdiYsKSQA,Content,سورة المائدة حفص عن عاصم | الشيخ مشاري راشد العفاسي | Surah Al-Ma'ida Mishary Alafasy,0,,1,1:00:18,1.0051
YT_RELATED.3OiFBPi0K4Y,Content,겨울 감성 팝송 플리 ❄️ 포근하고 잔잔한 노래 모음 | Design making tutorial,2,50,1,0:05:52,0.098
YT_RELATED.3YEa-xA-gqg,Content,❄️December 1st : Winter Magic of Hogwarts | Harry Potter 4k Music and Cozy Winter Ambience,5,0,1,0:50:22,0.8396
YT_RELATED.3c-piIO3cFk,Content,Phil Wickham - Song Of The Saints (Full Album Listen Through),1,100,1,0:00:02,0.0007
YT_RELATED.3hhQVFHYZsw,Content,فيروزيات  الصباح ساعة من أجمل  أغاني فيروز ♥️ 🎼🎶♥️باقة من أروع أغاني فيروز مع قهوة الصباح 🎶♥️,2,0,1,1:00:18,1.0051
YT_RELATED.3sKf0VYjfts,Content,"Japanese Zen Music – Peaceful Focus, Deep Calm, Mindful Balance, Relaxation & Gentle Healing",3,33.33,1,0:00:04,0.0014
YT_RELATED.3tzrluxtlpY,Content,Ram Dass - Sua Realidade é Relativa,0,,1,0:20:27,0.341
YT_RELATED.41TrutgjWuM,Content,mort committing literal crimes for over 4 minutes straight,0,,1,1:00:18,1.0051
YT_RELATED.4672bixesNY,Content,Peder B. Helland - Forest Sanctuary,1,100,1,0:00:38,0.0107
YT_RELATED.4AamhnTWtjw,Content,"a calm playlist for reading, studying or writing 📖 pt. 2",2,0,1,0:13:29,0.2249
YT_RELATED.4ENuzv-Xe0Q,Content,Quiet Outpost | Meditative Ambient Music Beneath the Stars [DEEP FOCUS MODE],2,50,1,0:01:50,0.0306
YT_RELATED.4JCohMqDmXY,Content,"Try Listening For 3 Minutes • Fall Asleep Instantly • Healing Of Stress, Anxiety and Depression",0,,1,1:00:18,1.0051
YT_RELATED.4KnAbE1-9KQ,Content,"Beautiful Relaxing Music ☘️ Stop Overthinking, Stress Relief Music, Calming Music, Music Therapy",0,,1,0:19:13,0.3204
YT_RELATED.4LI8wAn7yn4,Content,"2 Ngày 1 Đêm Mùa 4 | Tập 91: HIEUTHUHAI bị ""thảo khấu"" chơi xấu, ""Hằng Nga"" Đỗ Nhật Hoàng lộ diện",3,0,1,1:00:18,1.0051
YT_RELATED.4Oxy09-WKto,Content,"Timothée Chalamet & Adam Sandler Rewatch 'Dune,' 'Uncut Gems,' 'Marty Supreme' & More | Vanity Fair",0,,1,1:00:18,1.0051
YT_RELATED.4Pc2Z9JJ9fc,Content,𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 • Golden Stardust ☀️ - Harmony of light and petals ✨🌼,3,33.33,1,0:00:07,0.0021
YT_RELATED.4V8iHuamTg4,Content,Co jste neviděli v Show Jana Krause 26. 11. 2025,1,0,1,0:27:16,0.4545
YT_RELATED.4bxRnp3JRIk,Content,"Успокаивает и восстанавливает нервную систему 🌿 Перестаньте думать, музыка снижает стресс #2",0,,1,0:01:17,0.0216
YT_RELATED.4c7UsNn59-A,Content,"Luxury Soft Piano Morning | Gentle Melodies for Relaxation, Mindfulness & Quiet Mornings",2,50,1,0:00:59,0.0165
YT_RELATED.4cg8sllytfg,Content,Healing Ocean and Piano Music For Deep Sleep - Relaxing Sounds To Relieve Stress And Calm The Mind,2,0,1,1:00:18,1.0051
YT_RELATED.4gMVT0iNvaE,Content,A Charlie Brown Christmas - Vince Guaraldi Trio - Full Album Fireplace Yule Log / Official Video,1,100,1,0:01:43,0.0288
YT_RELATED.4idixRtn-9I,Content,a misty morning in november (a late-autumn playlist),4,25,1,0:02:47,0.0466
YT_RELATED.4jltiDzB1u4,Content,Stop Overthinking • Relieve Stress and Find Calm,1,100,1,0:59:40,0.9947
YT_RELATED.4koxY_VdT_M,Content,"Calming Music for Sleep, Relax, Meditation 🌿 Relaxing Music and Water Sound, Deep Healing Music, Spa",0,,1,0:19:52,0.3312
YT_RELATED.4qMXSaW_Wrc,Content,cozy december (a playlist for quiet moments),1,100,1,0:11:04,0.1844
YT_RELATED.4qVPxgpXf0Q,Content,واحد التسافيرة مخطوفة لبلجيكا مع ماما و بابا ، ها كيفاش دازت الأجواء ✈️😍,0,,1,0:01:28,0.0245
YT_RELATED.557uF3XKPd8,Content,"After 5 minutes listen, you will restore quickly 🌧️ Birdsong & Gentle Rain to Melt Stress Instantly",2,0,1,0:56:09,0.9359
YT_RELATED.58Ah9imTIfc,Content,"Beautiful Relaxing Music 🌿 Soothing Melodies for the Heart and Mind, Healing Music, Sleep Music",3,0,1,0:54:11,0.9032
YT_RELATED.5AZqpCsXWHc,Content,Top Instrumental Worship & Hymns - 5 Hours of Relaxing Acoustic Guitar,1,100,1,0:36:49,0.6137
YT_RELATED.5ApLqNI3DY4,Content,VLOGMAS: ODWIEDZIŁYŚMY NAJWIĘKSZY JARMARK W LONDYNIE!,0,,1,0:06:04,0.1012
YT_RELATED.5EXUDo-H9MQ,Content,เปิดประวัติ Contra เกมยิงแหลกขวัญใจมหาชน | Game History,2,50,1,1:00:23,1.0065
YT_RELATED.5GKoxn5C5ow,Content,"Healing Piano, Birdsong and Rainfall 🌧️🍃 Relieve Stress, Anxiety & Depression | Calm Mind & Body",2,50,1,0:00:09,0.0026
YT_RELATED.5GroWAOn8h8,Content,"The World's Best Classical Instrumental Music, Relaxing Guitar Music Eliminates Stress",3,0,1,0:42:11,0.7032
YT_RELATED.5MuI3z5jW-o,Content,Napi IGE | A jellemed az üzeneted | 2025.12.04,1,0,1,0:57:01,0.9504
YT_RELATED.5QkC9qslbT8,Content,"Beautiful Relaxing Music🌿 Stop Overthinking, Stress Relief Music, Sleep Music",4,0,1,1:00:18,1.0051
YT_RELATED.5QrlLqaLEs8,Content,Calm Medieval Music | Tranquil Fantasy Ambience for Deep Relaxation,5,20,1,0:09:28,0.1579
YT_RELATED.5T23eYT086I,Content,Cozy Cabin Ambience 2025 • Relaxing Piano Music & Snowfall for Sleep and Holiday Calm,0,,1,1:00:18,1.0051
YT_RELATED.5Ux3NCj-6PY,Content,a playlist for a quiet morning 🍁 (autumn edition),1,0,1,2:00:36,2.0101
YT_RELATED.5Yie5l4r3AQ,Content,Soft Peaceful Christmas Classics: One Hour of Pure Holiday Magic,5,20,1,0:00:16,0.0046
YT_RELATED.5ayqFawPspo,Content,𝙥𝙡𝙖𝙮𝙡𝙞𝙨𝙩  조용히 흩어져 사라지듯이,0,,1,0:04:44,0.079
YT_RELATED.5bxNWszH_sw,Content,Super Strong Girl vs Bodybuilder Battle,1,0,1,0:00:02,0.0008
YT_RELATED.5c8ccb3SdeE,Content,Listen to this when you're feeling lonely,6,16.67,1,0:20:07,0.3355
YT_RELATED.5dmrEv_c_pQ,Content,"Music therapy 🌿Soothes the nervous system and refreshes the soul, relaxing #3",4,0,1,1:00:18,1.0051
YT_RELATED.5qXHNOWp58I,Content,"Beautiful Relaxing Music🌿 Stop Overthinking, Calm Nature Sounds for Stress Release & Deep Sleep",5,0,1,0:00:09,0.0026
YT_RELATED.62iKcBQqDJ4,Content,young and hopefull | 00s rom com playlist,3,33.33,1,0:01:48,0.0301
YT_RELATED.63ZFOAHOfqU,Content,🎹 Winter Piano in White Room | Snowy Window View Fireplace for 3 Hours | Chill Study Calm Meditation,7,14.29,1,0:05:44,0.0957
YT_RELATED.69reIgXrVck,Content,"Healing Spa Insomnia 🌿 Sleeping Music, Water Sounds, Stress Relief, Relaxing Music, meditation",0,,1,1:00:18,1.0051
YT_RELATED.6BG89qnL1Ic,Content,Winter Relax by The Fireplace 🔥 Cozy Indie Folk & Acoustic Music for Peaceful Moments,1,100,1,1:00:17,1.0048
YT_RELATED.6HSRXRPg7zc,Content,"Moments Feel Special 🌺🍃 Relaxing Guitar Music for Inner Peace, Sleep & Emotional Healing",3,33.33,1,0:01:27,0.0243
YT_RELATED.6JkmTm5-BCo,Content,Warm Holiday｜1 Hour Relaxing Guitar & Piano – Cozy Winter & November Instrumental Music,8,12.5,1,0:14:44,0.2457
YT_RELATED.6KMw81rllHM,Content,Warm Acoustic Guitar Jazz – Smooth Morning Winter Vibes for Focus & Background Music,1,100,1,0:00:08,0.0022
YT_RELATED.6L0sINBLsGU,Content,أجمل موسيقي للحب | موسيقى رومانسية للمتزوجين ، موسيقى هادئة,0,,1,0:27:29,0.4583
YT_RELATED.6Z4ttk-eDPY,Content,"Time Alone With God 🙏🎹 | Instrumental Worship Music for Prayer, Devotion & Bible Reading ",3,33.33,1,0:03:50,0.0639
YT_RELATED.6f2uOtkOV7o,Content,Soft French Love Songs 💕 A Vintage 1960s Paris Café Collection of 5 Romantic Chansons,0,,1,0:02:16,0.0379
YT_RELATED.6i9alhCdlWM,Content,🎄🎁✧˖° CHRISTMAS at HOGWARTS ˖°✧🎄 Ambience & Music 🎅🏻Harry Potter inspired Holiday Special [8 HOURS],2,50,1,0:58:09,0.9692
YT_RELATED.6mu9Wd5_hJs,Content,sunny days of reading and feeling unbothered,3,0,1,0:27:51,0.4643
YT_RELATED.6rMR4laCUN8,Content,Gibran Alcocer live – Elbphilharmonie Ambient Piano-Set ✨,1,0,1,0:01:30,0.0251
YT_RELATED.6yntjtmkcHA,Content,Peaceful Christmas View ☕ Snowy Cabin Classical for Relaxing Sleep & Focus (1 Hour),1,100,1,0:09:14,0.1541
YT_RELATED.7-sSP-Wzh-k,Content,Listen for 1 HOUR — 99% Anti-Stress 🌿 Relaxing Music to Heal Your Mind & Relieve Sadness 💗,2,0,1,0:59:01,0.9838
YT_RELATED.70pawW1r_-o,Content,"Pride & Prejudice | Gentle Piano for Reading, Writing & Dreaming",1,100,1,0:00:06,0.0018
YT_RELATED.72LXA3avC2o,Content,"Cosy Winter Dreams ❄️ | Chill Acoustic, Indie Folk, Lofi mix for coffee, work, study, relaxing",2,50,1,0:01:27,0.0243
